date,Andalucía,Aragón,Asturias,Baleares,C. Valenciana,Canarias,Cantabria,Castilla La Mancha,Castilla y León,Cataluña,Ceuta,Extremadura,Galicia,La Rioja,Madrid,Melilla,Murcia,Navarra,No consta,País Vasco
2020-06-18,13262,5906,2435,2246,12029,2390,2346,19622,20724,54664,163,3234,9297,4024,73867,125,1747,5517,5717,14230
2020-06-19,13270,5922,2435,2258,12044,2391,2347,19640,20736,54783,163,3236,9298,4025,73975,125,1751,5525,5717,14256
2020-06-20,13283,5952,2435,2259,12050,2403,2349,19659,20754,54838,163,3240,9300,4025,74019,125,1755,5528,5717,14274
2020-06-21,13285,5981,2435,2262,12054,2403,2353,19667,20759,54875,163,3245,9305,4025,74043,127,1759,5549,5717,14289
2020-06-22,13289,6014,2435,2262,12062,2403,2353,19685,20776,54969,163,3246,9305,4025,74083,127,1760,5562,5719,14307
2020-06-23,13317,6046,2435,2265,12071,2409,2355,19730,20806,55131,163,3252,9308,4025,74177,127,1762,5573,5719,14327
2020-06-24,13408,6089,2435,2265,12079,2411,2355,19754,20825,55179,163,3254,9316,4027,74240,127,1765,5581,5720,14352
2020-06-25,13424,6131,2435,2267,12085,2412,2358,19788,20844,55294,163,3260,9325,4029,74328,127,1769,5588,5721,14372
2020-06-26,13446,6153,2435,2277,12097,2413,2360,19817,20865,55544,163,3260,9327,4029,74405,127,1777,5597,5721,14392
2020-06-27,13462,6194,2435,2280,12117,2413,2366,19847,20877,55606,163,3260,9335,4029,74437,127,1783,5606,5722,14408
2020-06-28,13497,6208,2435,2282,12137,2413,2366,19855,20878,55678,163,3260,9341,4029,74448,127,1787,5610,5723,14421
2020-06-29,13511,6220,2435,2293,12145,2413,2366,19880,20891,55797,163,3263,9349,4029,74504,127,1791,5610,5723,14433
2020-06-30,13537,6241,2435,2299,12165,2418,2367,19900,20905,55993,163,3271,9358,4030,74595,127,1799,5615,5725,14456
2020-07-01,13556,6271,2435,2306,12183,2422,2368,19930,20915,56244,163,3277,9375,4031,74634,127,1802,5623,5726,14471
2020-07-02,13568,6302,2435,2309,12208,2423,2368,19970,20925,56509,163,3284,9386,4031,74697,127,1808,5625,5726,14491
2020-07-03,13592,6342,2435,2313,12230,2426,2371,20000,20938,56822,163,3296,9418,4031,74769,127,1811,5628,5726,14517
2020-07-04,13609,6370,2435,2317,12234,2427,2372,20017,20945,56972,163,3300,9444,4031,74789,127,1814,5630,5727,14539
2020-07-05,13621,6382,2435,2317,12243,2427,2372,20023,20945,57079,163,3301,9468,4031,74809,127,1816,5634,5727,14552
2020-07-06,13631,6409,2435,2318,12262,2428,2372,20045,20953,57251,163,3302,9474,4031,74849,127,1819,5637,5729,14583
2020-07-07,13668,6463,2436,2321,12285,2428,2372,20070,20963,57632,163,3312,9508,4032,74930,127,1827,5642,5730,14631
2020-07-08,13722,6518,2436,2326,12305,2434,2373,20093,20973,58056,163,3318,9534,4033,74995,127,1838,5646,5730,14681
2020-07-09,13764,6581,2437,2328,12332,2439,2373,20128,20981,58561,163,3344,9568,4034,75047,127,1843,5672,5731,14712
2020-07-10,13815,6641,2437,2338,12355,2441,2375,20152,20996,59298,163,3391,9575,4049,75141,127,1852,5700,5735,14753
2020-07-11,13857,6755,2437,2342,12378,2442,2377,20168,21008,59557,163,3413,9583,4052,75163,127,1871,5735,5735,14791
2020-07-12,13877,6789,2437,2347,12392,2443,2379,20178,21013,59771,163,3425,9589,4055,75180,127,1880,5745,5737,14820
2020-07-13,13909,6881,2442,2348,12408,2448,2379,20199,21025,60312,163,3435,9594,4057,75263,127,1884,5760,5743,14862
2020-07-14,13994,7046,2442,2353,12429,2453,2382,20239,21037,61025,165,3441,9604,4061,75420,129,1888,5777,5749,14928
2020-07-15,14040,7315,2442,2366,12482,2466,2384,20277,21053,61918,165,3451,9615,4062,75526,129,1893,5826,5750,14997
2020-07-16,14118,7556,2442,2379,12542,2469,2385,20309,21073,62794,165,3477,9630,4064,75633,130,1912,5880,5752,15087
2020-07-17,14232,7845,2443,2385,12609,2477,2387,20347,21088,63893,165,3484,9639,4072,75876,130,1935,5937,5760,15226
2020-07-18,14335,8094,2444,2391,12703,2485,2395,20366,21102,64543,165,3490,9644,4075,75964,130,1950,5998,5767,15449
2020-07-19,14424,8377,2445,2395,12766,2532,2407,20375,21115,64953,165,3496,9650,4075,75989,130,1979,6028,5768,15579
2020-07-20,14522,8566,2447,2401,12826,2534,2409,20403,21147,65814,165,3506,9660,4081,76105,130,1991,6111,5771,15686
2020-07-21,14578,8864,2448,2407,12934,2545,2410,20439,21165,67071,165,3523,9679,4107,76308,130,2022,6237,5774,15821
2020-07-22,14659,9254,2452,2411,13049,2551,2414,20488,21182,68250,165,3529,9688,4119,76495,130,2094,6303,5776,15973
2020-07-23,14768,9558,2454,2436,13177,2559,2423,20522,21226,69406,165,3534,9714,4121,76716,130,2165,6397,5778,16110
2020-07-24,14901,10015,2455,2468,13337,2569,2429,20564,21255,70595,165,3544,9743,4134,77183,130,2232,6460,5781,16244
2020-07-25,15002,10314,2461,2491,13491,2587,2435,20600,21272,71111,165,3545,9766,4134,77359,130,2306,6541,5783,16425
2020-07-26,15064,10708,2466,2528,13548,2588,2440,20617,21277,71578,165,3548,9776,4134,77438,130,2349,6635,5787,16517
2020-07-27,15152,11089,2468,2548,13665,2593,2451,20635,21320,72442,165,3554,9785,4137,77700,130,2383,6676,5792,16656
2020-07-28,15261,11530,2481,2579,13821,2599,2452,20683,21372,73728,166,3576,9805,4142,78197,130,2436,6713,5796,16804
2020-07-29,15411,11890,2495,2616,14057,2603,2459,20749,21430,75094,167,3584,9827,4145,78703,130,2531,6773,5801,17011
2020-07-30,15613,12410,2515,2674,14315,2609,2473,20792,21511,76263,167,3606,9857,4150,79421,133,2597,6822,5816,17221
2020-07-31,15838,12909,2530,2757,14538,2621,2490,20843,21669,77542,167,3650,9896,4158,80291,137,2650,6873,5847,17433
2020-08-01,16028,14016,2546,2818,14755,2646,2514,20902,21725,78134,167,3666,9922,4158,80573,140,2726,6952,5861,17645
2020-08-02,16189,14539,2554,2864,14870,2670,2536,20945,21767,78479,167,3680,9953,4158,80755,140,2771,7028,5871,17800
2020-08-03,16381,14947,2560,2958,15083,2685,2572,20997,21817,79347,167,3687,9981,4167,81241,141,2811,7085,5882,18017
2020-08-04,16617,15539,2574,3100,15431,2702,2609,21073,21997,80516,167,3707,10023,4170,82370,145,2905,7152,5897,18267
2020-08-05,16942,15908,2608,3218,15786,2732,2628,21159,22224,81600,167,3745,10070,4178,83437,149,2981,7232,5915,18607
2020-08-06,17260,16518,2636,3390,16110,2790,2658,21263,22364,82682,167,3774,10149,4194,84689,151,3065,7338,5939,19042
2020-08-07,17615,17118,2661,3599,16426,2839,2692,21391,22631,83910,168,3821,10248,4209,86390,157,3168,7437,5988,19451
2020-08-08,17954,17726,2686,3767,16708,2891,2724,21510,22775,84463,169,3835,10329,4219,86935,157,3247,7524,6031,19794
2020-08-09,18208,18046,2702,3864,16882,2938,2753,21585,22998,84842,169,3843,10404,4232,87288,162,3288,7659,6055,20159
2020-08-10,18463,18501,2716,4105,17176,3026,2766,21698,23139,85848,170,3855,10489,4263,88052,174,3330,7699,6084,20452
2020-08-11,18919,18809,2737,4314,17524,3091,2831,21859,23311,86995,170,3894,10609,4297,90351,180,3455,7856,6139,20855
2020-08-12,19470,19229,2764,4553,17964,3193,2876,22030,23544,88128,171,3953,10731,4338,92375,182,3578,7937,6199,21425
2020-08-13,20056,19710,2786,4898,18431,3301,2937,22269,23795,89266,173,4023,10875,4391,94636,188,3732,8046,6288,21933
2020-08-14,20735,20273,2819,5220,18951,3443,3011,22514,24103,90562,177,4072,11020,4471,97716,192,3880,8139,6375,22475
2020-08-15,21315,20728,2842,5398,19318,3605,3071,22712,24326,91149,180,4088,11170,4529,98523,200,4020,8297,6416,23096
2020-08-16,21700,21072,2860,5575,19511,3682,3119,22825,24505,91590,185,4121,11296,4567,99029,205,4100,8357,6469,23511
2020-08-17,22234,21431,2879,5920,19826,3784,3138,23003,24734,92616,194,4168,11409,4625,100205,205,4198,8405,6492,23814
2020-08-18,22879,21874,2909,6283,20328,3933,3191,23232,25036,93973,197,4239,11578,4689,103575,205,4304,8486,6569,24346
2020-08-19,23616,22206,2932,6659,20891,4121,3240,23547,25449,95229,204,4333,11776,4747,106741,221,4434,8603,6626,24944
2020-08-20,24358,22579,2972,7006,21453,4313,3316,23955,25945,96570,210,4391,12054,4815,109730,226,4615,8701,6697,25665
2020-08-21,25114,22852,3003,7329,22142,4637,3408,24374,26272,98024,213,4482,12294,4870,114049,230,4909,8857,6769,26268
2020-08-22,25827,23244,3029,7556,22766,4877,3482,24727,26474,98589,221,4579,12516,4934,115201,238,5173,8966,6812,26945
2020-08-23,26521,23434,3048,7760,23038,4994,3519,24925,26711,99053,224,4639,12721,5008,115914,263,5358,9058,6855,27403
2020-08-24,27126,23598,3098,8023,23533,5216,3570,25186,27072,100233,233,4703,12900,5063,117285,275,5513,9152,6905,27822
2020-08-25,27959,23877,3144,8328,24051,5528,3653,25584,27602,101653,245,4795,13229,5156,121263,288,5820,9271,6961,28442
2020-08-26,28964,24136,3181,8682,24737,5866,3743,26045,27979,103163,250,4879,13482,5245,124676,296,6088,9516,7045,29206
2020-08-27,30015,24313,3217,8935,25445,6179,3836,26610,28559,104527,254,4953,13759,5323,128079,305,6414,9685,7134,29987
2020-08-28,31087,24589,3262,9237,26288,6452,3960,27147,29054,105890,268,5063,14098,5419,132642,319,6775,9849,7232,30886
2020-08-29,31997,24832,3293,9512,27001,6787,4073,27586,29553,106435,272,5137,14389,5579,133724,338,7033,10002,7300,31566
2020-08-30,32772,24998,3320,9631,27346,7089,4140,27870,29873,106905,280,5253,14654,5678,134646,347,7317,10132,7360,31990
2020-08-31,33681,25216,3349,9889,27805,7325,4202,28223,30127,108051,294,5357,14838,5719,136105,358,7577,10279,7402,32459
2020-09-01,34673,25463,3388,10153,28386,7590,4316,28759,30469,109429,303,5461,15090,5811,140298,381,7892,10418,7446,33049
2020-09-02,35795,25697,3451,10397,29151,7927,4418,29473,30880,110603,307,5593,15373,5871,144138,398,8336,10539,7496,33670
2020-09-03,36856,26051,3503,10628,29778,8304,4564,30100,31451,111866,312,5775,15633,5960,147904,420,8738,10704,7571,34396
2020-09-04,38293,26309,3570,10814,30481,8688,4683,30884,31985,113356,324,5935,15872,6055,153155,445,9156,10892,7656,35175
2020-09-05,39312,26718,3621,10950,31013,8979,4799,31467,32548,113953,333,6072,16135,6141,154877,457,9559,11160,7725,35803
2020-09-06,40109,26935,3676,11041,31353,9162,4859,31781,33096,114365,344,6194,16346,6215,155959,470,9856,11272,7763,36324
2020-09-07,40848,27145,3690,11211,31774,9350,4939,32262,33463,115397,345,6294,16572,6311,157905,481,10123,11533,7795,36739
2020-09-08,41822,27422,3754,11382,32439,9562,5048,32861,34112,116635,365,6419,16831,6349,163106,513,10495,11734,7874,37431
2020-09-09,43172,27796,3779,11567,33146,9827,5220,33554,34673,117865,370,6607,17092,6438,168239,554,10981,12079,7937,38091
2020-09-10,44368,28166,3823,11723,33847,10086,5371,34473,35583,119315,380,6833,17357,6490,173081,585,11422,12394,8020,38726
2020-09-11,45876,28654,3907,11857,34595,10342,5489,35262,36453,119895,399,7066,17583,6604,179759,611,11888,12697,8093,39447
2020-09-12,46820,28989,3973,11928,35084,10606,5611,35963,37097,120542,414,7247,17783,6733,181928,634,12342,12981,8153,39977
2020-09-13,47582,29363,4043,11993,35410,10812,5719,36393,37540,120969,417,7410,18057,6853,183471,649,12795,13262,8191,40282
2020-09-14,48376,29571,4095,12134,35850,10923,5797,36926,37997,122032,424,7620,18270,6926,186086,665,13332,13575,8232,40596
2020-09-15,49449,29856,4165,12377,36361,11104,5882,37709,38848,123552,431,7847,18436,6996,192542,669,13828,13874,8281,41077
2020-09-16,50920,30174,4245,12658,36975,11256,6004,38550,39643,125008,434,8107,18669,7163,198425,675,14285,14103,8345,41701
2020-09-17,52260,30571,4338,12877,37476,11428,6057,39470,40538,126254,445,8369,18967,7288,204180,679,14925,14386,8402,42249
2020-09-18,53863,30980,4434,13057,38066,11634,6185,40452,41421,127773,456,8731,19216,7434,211931,704,15538,14708,8463,42860
2020-09-19,55001,31373,4566,13182,38491,11826,6249,41242,42200,128343,465,8938,19459,7551,213793,730,16093,14904,8491,43342
2020-09-20,55748,31627,4623,13261,38762,11944,6316,41731,42668,128827,477,9116,19637,7684,215016,758,16371,15267,8527,43743
2020-09-21,56624,31925,4691,13373,39124,12115,6367,42195,43152,130095,488,9307,19869,7715,217342,783,16673,15629,8578,44095
2020-09-22,57911,32126,4772,13539,39669,12271,6434,42922,43866,131439,508,9519,20169,7798,222836,830,17130,16055,8621,44549
2020-09-23,59212,32361,4872,13708,40185,12421,6500,43824,44791,132843,514,9709,20367,7908,227888,857,17596,16415,8674,45100
2020-09-24,60700,32753,4963,13839,40708,12679,6569,44648,45847,133746,532,10021,20621,8044,232597,881,18277,16750,8727,45509
2020-09-25,62120,33125,5092,14009,41225,12822,6621,45458,46838,135060,551,10223,20839,8153,238375,912,18714,17118,8771,45937
2020-09-26,63384,33378,5203,14111,41607,13001,6676,46166,47482,135673,569,10377,21051,8222,239882,931,19192,17480,8800,46441
2020-09-27,64088,33708,5266,14170,41823,13154,6701,46534,47798,136066,575,10478,21218,8309,240867,969,19564,17744,8824,46814
2020-09-28,64872,33913,5333,14233,42112,13242,6774,47122,48208,137280,596,10611,21358,8393,242830,985,19813,18066,8851,47131
2020-09-29,66100,34198,5402,14385,42524,13400,6807,47611,48956,138807,608,10792,21522,8459,247462,1031,20197,18338,8892,47593
2020-09-30,67532,34443,5509,14499,43012,13579,6851,48348,49858,140329,632,10958,21709,8572,251274,1062,20595,18567,8958,48015
2020-10-01,69188,34811,5585,14600,43501,13777,6889,48985,50700,141913,647,11125,21920,8654,254597,1092,21016,18912,9032,48453
2020-10-02,70948,35233,5727,14716,44027,13894,6953,49690,51592,143761,666,11309,22144,8714,258724,1123,21453,19161,9069,48906
2020-10-03,72192,35540,5822,14833,44410,14054,6985,50225,52067,144580,680,11453,22377,8813,259829,1140,21888,19446,9121,49249
2020-10-04,73155,35855,5914,14899,44635,14158,7047,50532,52432,145192,686,11560,22641,8865,260387,1162,22248,19753,9177,49548
2020-10-05,74394,36148,5998,14983,45114,14238,7084,51116,52987,146851,701,11715,22805,8938,262736,1190,22604,20032,9219,49912
2020-10-06,76307,36547,6115,15090,45753,14357,7128,51733,53784,149033,722,11931,23020,9054,266181,1224,23102,20301,9273,50365
2020-10-07,78321,36980,6235,15203,46354,14480,7165,52387,54800,151139,759,12131,23311,9172,269277,1264,23571,20718,9358,50850
2020-10-08,80684,37463,6356,15335,47044,14655,7195,53174,55948,153671,793,12343,23771,9260,272323,1321,23999,21195,9477,51348
2020-10-09,83235,38023,6587,15451,47535,14793,7260,54073,56984,156565,821,12593,24159,9390,275657,1369,24431,21673,9582,51978
2020-10-10,85092,38391,6826,15560,47916,14925,7330,54616,57857,157742,848,12781,24489,9468,276477,1426,24794,22107,9662,52592
2020-10-11,86177,38759,6987,15668,48248,15049,7366,54952,58340,158829,863,12948,24785,9549,277137,1469,25172,22666,9712,52991
2020-10-12,87190,39094,7127,15745,48543,15100,7411,55242,58854,159905,881,13100,25041,9635,277793,1493,25495,23045,9756,53556
2020-10-13,88962,39382,7312,15855,49122,15167,7482,55885,59645,162889,909,13291,25280,9812,280728,1519,25879,23454,9827,54023
2020-10-14,91773,39923,7501,16035,50158,15275,7540,56680,60702,166565,929,13605,25535,9950,283877,1561,26579,23943,9989,54728
2020-10-15,95165,40509,7701,16124,51098,15426,7625,57508,62091,170510,952,13904,25900,10104,286714,1661,27175,24503,10113,55602
